id,word,ipa,meaning,level,unit,image,sentence_en,sentence_vi
"vocab-L1-L1-U03-W01","circle","/sˈɝkəl/","hình tròn","L1","L1-U03","⭕","I can see a circle.","Bé nhìn thấy hình tròn."
"vocab-L1-L1-U03-W02","square","/skwˈɛr/","hình vuông","L1","L1-U03","⏹️","I can see a square.","Bé nhìn thấy hình vuông."
"vocab-L1-L1-U03-W03","triangle","/trˈaɪˌæŋɡəl/","hình tam giác","L1","L1-U03","🔺","I can see a triangle.","Bé nhìn thấy hình tam giác."
"vocab-L1-L1-U03-W04","rectangle","/rˈɛktæŋɡəl/","hình chữ nhật","L1","L1-U03","▭","I can see a rectangle.","Bé nhìn thấy hình chữ nhật."
"vocab-L1-L1-U03-W05","star","/stˈɑr/","hình ngôi sao","L1","L1-U03","⭐","I can see a star.","Bé nhìn thấy hình ngôi sao."
"vocab-L1-L1-U03-W06","heart","/hˈɑrt/","hình trái tim","L1","L1-U03","❤️","I can see a heart.","Bé nhìn thấy hình trái tim."
"vocab-L1-L1-U03-W07","oval","/ˈoʊvəl/","hình bầu dục","L1","L1-U03","🥚","I can see an oval.","Bé nhìn thấy hình bầu dục."
"vocab-L1-L1-U03-W08","diamond","/dˈaɪmənd/","hình thoi","L1","L1-U03","🔷","I can see a diamond.","Bé nhìn thấy hình thoi."
"vocab-L1-L1-U03-W09","line","/lˈaɪn/","đường thẳng","L1","L1-U03","➖","I can see a line.","Bé nhìn thấy đường thẳng."
"vocab-L1-L1-U03-W10","dot","/dˈɑt/","dấu chấm","L1","L1-U03","⏺️","I can see a dot.","Bé nhìn thấy dấu chấm."
"vocab-L1-L1-U04-W01","mother","/mˈʌðɚ/","mẹ","L1","L1-U04","👩","This is my mother.","Đây là mẹ của bé."
"vocab-L1-L1-U04-W02","father","/fˈɑðɚ/","bố/cha","L1","L1-U04","👨","This is my father.","Đây là bố/cha của bé."
"vocab-L1-L1-U04-W03","sister","/sˈɪstɚ/","chị/em gái","L1","L1-U04","👧","This is my sister.","Đây là chị/em gái của bé."
"vocab-L1-L1-U04-W04","brother","/brˈʌðɚ/","anh/em trai","L1","L1-U04","👦","This is my brother.","Đây là anh/em trai của bé."
"vocab-L1-L1-U04-W05","grandmother","/ɡrˈændmˌʌðɚ/","bà","L1","L1-U04","👵","This is my grandmother.","Đây là bà của bé."
"vocab-L1-L1-U04-W06","grandfather","/ɡrˈændfˌɑðɚ/","ông","L1","L1-U04","👴","This is my grandfather.","Đây là ông của bé."
"vocab-L1-L1-U04-W07","baby","/bˈeɪbi/","em bé","L1","L1-U04","👶","This is my baby.","Đây là em bé của bé."
"vocab-L1-L1-U04-W08","family","/fˈæməli/","gia đình","L1","L1-U04","👨‍👩‍👧‍👦","This is my family.","Đây là gia đình của bé."
"vocab-L1-L1-U04-W09","aunt","/ˈænt/","cô/dì","L1","L1-U04","👩‍💼","This is my aunt.","Đây là cô/dì của bé."
"vocab-L1-L1-U04-W10","uncle","/ˈʌŋkəl/","chú/cậu/bác trai","L1","L1-U04","👨‍💼","This is my uncle.","Đây là chú/cậu/bác trai của bé."
"vocab-L1-L1-U05-W01","head","/hˈɛd/","đầu","L1","L1-U05","🗣️","Touch your head.","Hãy chạm vào đầu của con."
"vocab-L1-L1-U05-W02","hair","/hˈɛr/","tóc","L1","L1-U05","💇","Touch your hair.","Hãy chạm vào tóc của con."
"vocab-L1-L1-U05-W03","eye","/ˈaɪ/","mắt","L1","L1-U05","👁️","Touch your eye.","Hãy chạm vào mắt của con."
"vocab-L1-L1-U05-W04","ear","/ˈir/","tai","L1","L1-U05","👂","Touch your ear.","Hãy chạm vào tai của con."
"vocab-L1-L1-U05-W05","nose","/nˈoʊz/","mũi","L1","L1-U05","👃","Touch your nose.","Hãy chạm vào mũi của con."
"vocab-L1-L1-U05-W06","mouth","/mˈaʊθ/","miệng","L1","L1-U05","👄","Touch your mouth.","Hãy chạm vào miệng của con."
"vocab-L1-L1-U05-W07","hand","/hˈænd/","bàn tay","L1","L1-U05","🤚","Touch your hand.","Hãy chạm vào bàn tay của con."
"vocab-L1-L1-U05-W08","arm","/ˈɑrm/","cánh tay","L1","L1-U05","🦾","Touch your arm.","Hãy chạm vào cánh tay của con."
"vocab-L1-L1-U05-W09","leg","/lˈɛɡ/","chân","L1","L1-U05","🦵","Touch your leg.","Hãy chạm vào chân của con."
"vocab-L1-L1-U05-W10","foot","/fˈʊt/","bàn chân","L1","L1-U05","🦶","Touch your foot.","Hãy chạm vào bàn chân của con."
"vocab-L1-L1-U06-W01","cat","/kˈæt/","con mèo","L1","L1-U06","🐱","The cat is friendly.","Con mèo rất thân thiện."
"vocab-L1-L1-U06-W02","dog","/dˈɔɡ/","con chó","L1","L1-U06","🐶","The dog is friendly.","Con chó rất thân thiện."
"vocab-L1-L1-U06-W03","bird","/bˈɝd/","con chim","L1","L1-U06","🐦","The bird is friendly.","Con chim rất thân thiện."
"vocab-L1-L1-U06-W04","fish","/fˈɪʃ/","con cá","L1","L1-U06","🐟","The fish is friendly.","Con cá rất thân thiện."
"vocab-L1-L1-U06-W05","rabbit","/rˈæbət/","con thỏ","L1","L1-U06","🐰","The rabbit is friendly.","Con thỏ rất thân thiện."
"vocab-L1-L1-U06-W06","duck","/dˈʌk/","con vịt","L1","L1-U06","🦆","The duck is friendly.","Con vịt rất thân thiện."
"vocab-L1-L1-U06-W07","cow","/kˈaʊ/","con bò","L1","L1-U06","🐮","The cow is friendly.","Con bò rất thân thiện."
"vocab-L1-L1-U06-W08","pig","/pˈɪɡ/","con heo","L1","L1-U06","🐷","The pig is friendly.","Con heo rất thân thiện."
"vocab-L1-L1-U06-W09","horse","/hˈɔrs/","con ngựa","L1","L1-U06","🐴","The horse is friendly.","Con ngựa rất thân thiện."
"vocab-L1-L1-U06-W10","sheep","/ʃˈip/","con cừu","L1","L1-U06","🐑","The sheep is friendly.","Con cừu rất thân thiện."
"vocab-L1-L1-U07-W01","apple","/ˈæpəl/","quả táo","L1","L1-U07","🍎","I like apples.","Bé thích quả táo."
"vocab-L1-L1-U07-W02","banana","/bənˈænə/","quả chuối","L1","L1-U07","🍌","I like bananas.","Bé thích quả chuối."
"vocab-L1-L1-U07-W03","orange","/ˈɔrəndʒ/","quả cam","L1","L1-U07","🍊","I like oranges.","Bé thích quả cam."
"vocab-L1-L1-U07-W04","rice","/rˈaɪs/","cơm/gạo","L1","L1-U07","🍚","I like rice.","Bé thích cơm/gạo."
"vocab-L1-L1-U07-W05","bread","/brˈɛd/","bánh mì","L1","L1-U07","🍞","I like bread.","Bé thích bánh mì."
"vocab-L1-L1-U07-W06","milk","/mˈɪlk/","sữa","L1","L1-U07","🥛","I like milk.","Bé thích sữa."
"vocab-L1-L1-U07-W07","egg","/ˈɛɡ/","quả trứng","L1","L1-U07","🥚","I like eggs.","Bé thích quả trứng."
"vocab-L1-L1-U07-W08","cake","/kˈeɪk/","bánh ngọt","L1","L1-U07","🎂","I like cakes.","Bé thích bánh ngọt."
"vocab-L1-L1-U07-W09","water","/wˈɔtɚ/","nước","L1","L1-U07","💧","I like water.","Bé thích nước."
"vocab-L1-L1-U07-W10","juice","/dʒˈus/","nước ép","L1","L1-U07","🧃","I like juice.","Bé thích nước ép."
"vocab-L1-L1-U08-W01","book","/bˈʊk/","quyển sách","L1","L1-U08","📚","This is my book.","Đây là quyển sách của bé."
"vocab-L1-L1-U08-W02","pen","/pˈɛn/","bút mực","L1","L1-U08","🖊️","This is my pen.","Đây là bút mực của bé."
"vocab-L1-L1-U08-W03","pencil","/pˈɛnsəl/","bút chì","L1","L1-U08","✏️","This is my pencil.","Đây là bút chì của bé."
"vocab-L1-L1-U08-W04","ruler","/rˈulɚ/","thước kẻ","L1","L1-U08","📏","This is my ruler.","Đây là thước kẻ của bé."
"vocab-L1-L1-U08-W05","eraser","/ɪrˈeɪsɚ/","cục tẩy","L1","L1-U08","🧹","This is my eraser.","Đây là cục tẩy của bé."
"vocab-L1-L1-U08-W06","bag","/bˈæɡ/","cặp/túi","L1","L1-U08","🎒","This is my bag.","Đây là cặp/túi của bé."
"vocab-L1-L1-U08-W07","chair","/tʃˈɛr/","ghế","L1","L1-U08","🪑","This is my chair.","Đây là ghế của bé."
"vocab-L1-L1-U08-W08","table","/tˈeɪbəl/","bàn","L1","L1-U08","🪵","This is my table.","Đây là bàn của bé."
"vocab-L1-L1-U08-W09","door","/dˈɔr/","cửa ra vào","L1","L1-U08","🚪","This is my door.","Đây là cửa ra vào của bé."
"vocab-L1-L1-U08-W10","window","/wˈɪndoʊ/","cửa sổ","L1","L1-U08","🪟","This is my window.","Đây là cửa sổ của bé."
"vocab-L1-L1-U09-W01","run","/rˈʌn/","chạy","L1","L1-U09","🏃","I can run.","Bé có thể chạy."
"vocab-L1-L1-U09-W02","jump","/dʒˈʌmp/","nhảy","L1","L1-U09","🦘","I can jump.","Bé có thể nhảy."
"vocab-L1-L1-U09-W03","walk","/wˈɔk/","đi bộ","L1","L1-U09","🚶","I can walk.","Bé có thể đi bộ."
"vocab-L1-L1-U09-W04","sit","/sˈɪt/","ngồi","L1","L1-U09","🪑","I can sit.","Bé có thể ngồi."
"vocab-L1-L1-U09-W05","stand","/stˈænd/","đứng","L1","L1-U09","🧍","I can stand.","Bé có thể đứng."
"vocab-L1-L1-U09-W06","clap","/klˈæp/","vỗ tay","L1","L1-U09","👏","I can clap.","Bé có thể vỗ tay."
"vocab-L1-L1-U09-W07","sing","/sˈɪŋ/","hát","L1","L1-U09","🎤","I can sing.","Bé có thể hát."
"vocab-L1-L1-U09-W08","dance","/dˈæns/","nhảy múa","L1","L1-U09","💃","I can dance.","Bé có thể nhảy múa."
"vocab-L1-L1-U09-W09","eat","/ˈit/","ăn","L1","L1-U09","🍎","I can eat.","Bé có thể ăn."
"vocab-L1-L1-U09-W10","drink","/drˈɪŋk/","uống","L1","L1-U09","🥛","I can drink.","Bé có thể uống."
"vocab-L1-L1-U10-W01","happy","/hˈæpi/","vui vẻ","L1","L1-U10","😊","I feel happy.","Bé cảm thấy vui vẻ."
"vocab-L1-L1-U10-W02","sad","/sˈæd/","buồn","L1","L1-U10","😢","I feel sad.","Bé cảm thấy buồn."
"vocab-L1-L1-U10-W03","angry","/ˈæŋɡri/","tức giận","L1","L1-U10","😡","I feel angry.","Bé cảm thấy tức giận."
"vocab-L1-L1-U10-W04","scared","/skˈɛrd/","sợ hãi","L1","L1-U10","😱","I feel scared.","Bé cảm thấy sợ hãi."
"vocab-L1-L1-U10-W05","tired","/tˈaɪɚd/","mệt","L1","L1-U10","🥱","I feel tired.","Bé cảm thấy mệt."
"vocab-L1-L1-U10-W06","hungry","/hˈʌŋɡri/","đói","L1","L1-U10","🍕","I feel hungry.","Bé cảm thấy đói."
"vocab-L1-L1-U10-W07","thirsty","/θˈɝsti/","khát","L1","L1-U10","🥤","I feel thirsty.","Bé cảm thấy khát."
"vocab-L1-L1-U10-W08","excited","/ɪksˈaɪtəd/","hào hứng","L1","L1-U10","🎉","I feel excited.","Bé cảm thấy hào hứng."
"vocab-L1-L1-U10-W09","calm","/kˈɑm/","bình tĩnh","L1","L1-U10","🧘","I feel calm.","Bé cảm thấy bình tĩnh."
"vocab-L1-L1-U10-W10","sleepy","/slˈipi/","buồn ngủ","L1","L1-U10","🌙","I feel sleepy.","Bé cảm thấy buồn ngủ."
"vocab-L2-L2-U01-W01","house","/hˈaʊs/","ngôi nhà","L2","L2-U01","🏠","This is the house.","Đây là ngôi nhà."
"vocab-L2-L2-U01-W02","living room","/lˈɪvɪŋ rˈum/","phòng khách","L2","L2-U01","🛋️","This is the living room.","Đây là phòng khách."
"vocab-L2-L2-U01-W03","bedroom","/bˈɛdrˌum/","phòng ngủ","L2","L2-U01","🛏️","This is the bedroom.","Đây là phòng ngủ."
"vocab-L2-L2-U01-W04","kitchen","/kˈɪtʃən/","nhà bếp","L2","L2-U01","🍳","This is the kitchen.","Đây là nhà bếp."
"vocab-L2-L2-U01-W05","bathroom","/bˈæθrˌum/","phòng tắm","L2","L2-U01","🛁","This is the bathroom.","Đây là phòng tắm."
"vocab-L2-L2-U01-W06","garden","/ɡˈɑrdən/","khu vườn","L2","L2-U01","🏡","This is the garden.","Đây là khu vườn."
"vocab-L2-L2-U01-W07","bed","/bˈɛd/","giường","L2","L2-U01","🛌","This is the bed.","Đây là giường."
"vocab-L2-L2-U01-W08","sofa","/sˈoʊfə/","ghế sofa","L2","L2-U01","🛋️","This is the sofa.","Đây là ghế sofa."
"vocab-L2-L2-U01-W09","lamp","/lˈæmp/","đèn","L2","L2-U01","💡","This is the lamp.","Đây là đèn."
"vocab-L2-L2-U01-W10","clock","/klˈɑk/","đồng hồ","L2","L2-U01","⏰","This is the clock.","Đây là đồng hồ."
"vocab-L2-L2-U02-W01","shirt","/ʃˈɝt/","áo sơ mi","L2","L2-U02","👔","I am wearing a shirt.","Bé đang mặc áo sơ mi."
"vocab-L2-L2-U02-W02","T-shirt","/tˈi-ʃˈɝt/","áo thun","L2","L2-U02","👕","I am wearing a T-shirt.","Bé đang mặc áo thun."
"vocab-L2-L2-U02-W03","dress","/drˈɛs/","váy liền","L2","L2-U02","👗","She is wearing a dress.","Bạn ấy đang mặc váy liền."
"vocab-L2-L2-U02-W04","skirt","/skˈɝt/","chân váy","L2","L2-U02","👗","She is wearing a skirt.","Bạn ấy đang mặc chân váy."
"vocab-L2-L2-U02-W05","trousers","/trˈaʊzɚz/","quần dài","L2","L2-U02","👖","I am wearing trousers.","Bé đang mặc quần dài."
"vocab-L2-L2-U02-W06","shorts","/ʃˈɔrts/","quần ngắn","L2","L2-U02","🩳","I am wearing shorts.","Bé đang mặc quần ngắn."
"vocab-L2-L2-U02-W07","shoes","/ʃˈuz/","giày","L2","L2-U02","👟","These are my shoes.","Đây là đôi giày của bé."
"vocab-L2-L2-U02-W08","socks","/sˈɑks/","tất/vớ","L2","L2-U02","🧦","These are my socks.","Đây là đôi tất của bé."
"vocab-L2-L2-U02-W09","hat","/hˈæt/","mũ","L2","L2-U02","🧢","I am wearing a hat.","Bé đang đội mũ."
"vocab-L2-L2-U02-W10","jacket","/dʒˈækət/","áo khoác","L2","L2-U02","🧥","I am wearing a jacket.","Bé đang mặc áo khoác."
"vocab-L2-L2-U03-W01","wake up","/wˈeɪk ˈʌp/","thức dậy","L2","L2-U03","⏰","I wake up at seven.","Bé thức dậy lúc bảy giờ."
"vocab-L2-L2-U03-W02","brush","/brˈʌʃ/","chải/đánh","L2","L2-U03","🪥","I brush my teeth every morning.","Bé đánh răng mỗi sáng."
"vocab-L2-L2-U03-W03","wash","/wˈɑʃ/","rửa","L2","L2-U03","🚰","I wash my face every morning.","Bé rửa mặt mỗi sáng."
"vocab-L2-L2-U03-W04","get dressed","/ɡˈɛt drˈɛst/","mặc quần áo","L2","L2-U03","👕","I get dressed after breakfast.","Bé mặc quần áo sau bữa sáng."
"vocab-L2-L2-U03-W05","have breakfast","/hˈæv brˈɛkfəst/","ăn sáng","L2","L2-U03","🍳","I have breakfast with my family.","Bé ăn sáng cùng gia đình."
"vocab-L2-L2-U03-W06","go to school","/ɡˈoʊ tˈu skˈul/","đi học","L2","L2-U03","🏫","I go to school in the morning.","Bé đi học vào buổi sáng."
"vocab-L2-L2-U03-W07","study","/stˈʌdi/","học","L2","L2-U03","📚","I study English after school.","Bé học tiếng Anh sau giờ học."
"vocab-L2-L2-U03-W08","play","/plˈeɪ/","chơi","L2","L2-U03","⚽","I play with my friends.","Bé chơi cùng các bạn."
"vocab-L2-L2-U03-W09","have dinner","/hˈæv dˈɪnɚ/","ăn tối","L2","L2-U03","🍲","I have dinner at home.","Bé ăn tối ở nhà."
"vocab-L2-L2-U03-W10","sleep","/slˈip/","ngủ","L2","L2-U03","🌙","I sleep at night.","Bé ngủ vào ban đêm."
"vocab-L2-L2-U04-W01","sunny","/sˈʌni/","có nắng","L2","L2-U04","☀️","It is sunny today.","Hôm nay trời có nắng."
"vocab-L2-L2-U04-W02","rainy","/rˈeɪni/","có mưa","L2","L2-U04","🌧️","It is rainy today.","Hôm nay trời có mưa."
"vocab-L2-L2-U04-W03","cloudy","/klˈaʊdi/","nhiều mây","L2","L2-U04","☁️","It is cloudy today.","Hôm nay trời nhiều mây."
"vocab-L2-L2-U04-W04","windy","/wˈɪndi/","có gió","L2","L2-U04","🌬️","It is windy today.","Hôm nay trời có gió."
"vocab-L2-L2-U04-W05","hot","/hˈɑt/","nóng","L2","L2-U04","🥵","It is hot today.","Hôm nay trời nóng."
"vocab-L2-L2-U04-W06","cold","/kˈoʊld/","lạnh","L2","L2-U04","🥶","It is cold today.","Hôm nay trời lạnh."
"vocab-L2-L2-U04-W07","warm","/wˈɔrm/","ấm","L2","L2-U04","🌤️","It is warm today.","Hôm nay trời ấm."
"vocab-L2-L2-U04-W08","cool","/kˈul/","mát","L2","L2-U04","🍃","It is cool today.","Hôm nay trời mát."
"vocab-L2-L2-U04-W09","storm","/stˈɔrm/","cơn bão","L2","L2-U04","🌩️","I can see a storm.","Bé có thể nhìn thấy cơn bão."
"vocab-L2-L2-U04-W10","rainbow","/rˈeɪnbˌoʊ/","cầu vồng","L2","L2-U04","🌈","I can see a rainbow.","Bé có thể nhìn thấy cầu vồng."
"vocab-L2-L2-U05-W01","bicycle","/bˈaɪsɪkəl/","xe đạp","L2","L2-U05","🚲","I can travel by bicycle.","Bé có thể di chuyển bằng xe đạp."
"vocab-L2-L2-U05-W02","motorbike","/mˈoʊtɚbˌaɪk/","xe máy","L2","L2-U05","🛵","I can travel by motorbike.","Bé có thể di chuyển bằng xe máy."
"vocab-L2-L2-U05-W03","car","/kˈɑr/","ô tô","L2","L2-U05","🚗","I can travel by car.","Bé có thể di chuyển bằng ô tô."
"vocab-L2-L2-U05-W04","bus","/bˈʌs/","xe buýt","L2","L2-U05","🚌","I can travel by bus.","Bé có thể di chuyển bằng xe buýt."
"vocab-L2-L2-U05-W05","train","/trˈeɪn/","tàu hỏa","L2","L2-U05","🚂","I can travel by train.","Bé có thể di chuyển bằng tàu hỏa."
"vocab-L2-L2-U05-W06","plane","/plˈeɪn/","máy bay","L2","L2-U05","✈️","I can travel by plane.","Bé có thể di chuyển bằng máy bay."
"vocab-L2-L2-U05-W07","boat","/bˈoʊt/","thuyền","L2","L2-U05","⛵","I can travel by boat.","Bé có thể di chuyển bằng thuyền."
"vocab-L2-L2-U05-W08","taxi","/tˈæksi/","xe taxi","L2","L2-U05","🚕","I can travel by taxi.","Bé có thể di chuyển bằng xe taxi."
"vocab-L2-L2-U05-W09","truck","/trˈʌk/","xe tải","L2","L2-U05","🚚","I can travel by truck.","Bé có thể di chuyển bằng xe tải."
"vocab-L2-L2-U05-W10","scooter","/skˈutɚ/","xe tay ga/xe trượt","L2","L2-U05","🛴","I can travel by scooter.","Bé có thể di chuyển bằng xe tay ga/xe trượt."
"vocab-L2-L2-U06-W01","school","/skˈul/","trường học","L2","L2-U06","🏫","We go to school in the morning.","Chúng ta đi học vào buổi sáng."
"vocab-L2-L2-U06-W02","hospital","/hˈɑspˌɪtəl/","bệnh viện","L2","L2-U06","🏥","A doctor works at the hospital.","Bác sĩ làm việc tại bệnh viện."
"vocab-L2-L2-U06-W03","park","/pˈɑrk/","công viên","L2","L2-U06","🏞️","We play in the park.","Chúng ta chơi trong công viên."
"vocab-L2-L2-U06-W04","supermarket","/sˈupɚmˌɑrkɪt/","siêu thị","L2","L2-U06","🛒","We buy food at the supermarket.","Chúng ta mua thực phẩm ở siêu thị."
"vocab-L2-L2-U06-W05","library","/lˈaɪbrɛrˌi/","thư viện","L2","L2-U06","📖","We read books at the library.","Chúng ta đọc sách ở thư viện."
"vocab-L2-L2-U06-W06","zoo","/zˈu/","sở thú","L2","L2-U06","🦁","We can see animals at the zoo.","Chúng ta có thể xem động vật ở sở thú."
"vocab-L2-L2-U06-W07","cinema","/sˈɪnəmə/","rạp chiếu phim","L2","L2-U06","🎬","We watch a movie at the cinema.","Chúng ta xem phim ở rạp chiếu phim."
"vocab-L2-L2-U06-W08","restaurant","/rˈɛstɚˌɑnt/","nhà hàng","L2","L2-U06","🍽️","We eat dinner at the restaurant.","Chúng ta ăn tối ở nhà hàng."
"vocab-L2-L2-U06-W09","bank","/bˈæŋk/","ngân hàng","L2","L2-U06","🏦","People keep money in a bank.","Mọi người gửi tiền ở ngân hàng."
"vocab-L2-L2-U06-W10","post office","/pˈoʊst ˈɔfɪs/","bưu điện","L2","L2-U06","📮","We send a letter at the post office.","Chúng ta gửi thư ở bưu điện."
"vocab-L2-L2-U07-W01","teacher","/tˈitʃɚ/","giáo viên","L2","L2-U07","🧑‍🏫","A teacher helps children learn.","Giáo viên giúp trẻ học tập."
"vocab-L2-L2-U07-W02","doctor","/dˈɑktɚ/","bác sĩ","L2","L2-U07","🩺","A doctor helps sick people.","Bác sĩ giúp người bị ốm."
"vocab-L2-L2-U07-W03","nurse","/nˈɝs/","y tá","L2","L2-U07","🧑‍⚕️","A nurse cares for patients.","Y tá chăm sóc bệnh nhân."
"vocab-L2-L2-U07-W04","police officer","/pəlˈis ˈɔfəsɚ/","cảnh sát","L2","L2-U07","👮","A police officer keeps people safe.","Cảnh sát giúp mọi người an toàn."
"vocab-L2-L2-U07-W05","firefighter","/fˈaɪrfˌaɪtɚ/","lính cứu hỏa","L2","L2-U07","👨‍🚒","A firefighter puts out fires.","Lính cứu hỏa dập tắt đám cháy."
"vocab-L2-L2-U07-W06","farmer","/fˈɑrmɚ/","nông dân","L2","L2-U07","👨‍🌾","A farmer grows food.","Nông dân trồng lương thực."
"vocab-L2-L2-U07-W07","cook","/kˈʊk/","đầu bếp","L2","L2-U07","👨‍🍳","A cook makes delicious food.","Đầu bếp nấu món ăn ngon."
"vocab-L2-L2-U07-W08","driver","/drˈaɪvɚ/","tài xế","L2","L2-U07","🚘","A driver drives a vehicle.","Tài xế lái phương tiện."
"vocab-L2-L2-U07-W09","pilot","/pˈaɪlət/","phi công","L2","L2-U07","👨‍✈️","A pilot flies a plane.","Phi công lái máy bay."
"vocab-L2-L2-U07-W10","artist","/ˈɑrtəst/","họa sĩ/nghệ sĩ","L2","L2-U07","🎨","An artist creates beautiful pictures.","Họa sĩ tạo ra những bức tranh đẹp."
"vocab-L2-L2-U08-W01","mango","/mˈæŋɡoʊ/","quả xoài","L2","L2-U08","🥭","I like mangoes.","Bé thích quả xoài."
"vocab-L2-L2-U08-W02","grape","/ɡrˈeɪp/","quả nho","L2","L2-U08","🍇","I like grapes.","Bé thích quả nho."
"vocab-L2-L2-U08-W03","watermelon","/wˈɔtɚmˌɛlən/","dưa hấu","L2","L2-U08","🍉","I like watermelons.","Bé thích dưa hấu."
"vocab-L2-L2-U08-W04","strawberry","/strˈɔbˌɛri/","dâu tây","L2","L2-U08","🍓","I like strawberries.","Bé thích dâu tây."
"vocab-L2-L2-U08-W05","pineapple","/pˈaɪnˌæpəl/","quả dứa/thơm","L2","L2-U08","🍍","I like pineapples.","Bé thích quả dứa/thơm."
"vocab-L2-L2-U08-W06","carrot","/kˈærət/","cà rốt","L2","L2-U08","🥕","I like carrots.","Bé thích cà rốt."
"vocab-L2-L2-U08-W07","tomato","/təmˈeɪtˌoʊ/","cà chua","L2","L2-U08","🍅","I like tomatoes.","Bé thích cà chua."
"vocab-L2-L2-U08-W08","potato","/pətˈeɪtˌoʊ/","khoai tây","L2","L2-U08","🥔","I like potatoes.","Bé thích khoai tây."
"vocab-L2-L2-U08-W09","corn","/kˈɔrn/","bắp/ngô","L2","L2-U08","🌽","I like corn.","Bé thích bắp/ngô."
"vocab-L2-L2-U08-W10","cucumber","/kjˈukəmbɚ/","dưa leo","L2","L2-U08","🥒","I like cucumbers.","Bé thích dưa leo."
"vocab-L2-L2-U09-W01","morning","/mˈɔrnɪŋ/","buổi sáng","L2","L2-U09","🌅","I eat breakfast in the morning.","Bé ăn sáng vào buổi sáng."
"vocab-L2-L2-U09-W02","afternoon","/ˌæftɚnˈun/","buổi chiều","L2","L2-U09","☀️","I play in the afternoon.","Bé chơi vào buổi chiều."
"vocab-L2-L2-U09-W03","evening","/ˈivnɪŋ/","buổi tối","L2","L2-U09","🌆","I read in the evening.","Bé đọc sách vào buổi tối."
"vocab-L2-L2-U09-W04","night","/nˈaɪt/","ban đêm","L2","L2-U09","🌙","I sleep at night.","Bé ngủ vào ban đêm."
"vocab-L2-L2-U09-W05","today","/tədˈeɪ/","hôm nay","L2","L2-U09","📅","Today is a sunny day.","Hôm nay là một ngày nắng."
"vocab-L2-L2-U09-W06","tomorrow","/təmˈɑrˌoʊ/","ngày mai","L2","L2-U09","🌅","We will go to school tomorrow.","Ngày mai chúng ta sẽ đi học."
"vocab-L2-L2-U09-W07","yesterday","/jˈɛstɚdˌeɪ/","hôm qua","L2","L2-U09","📜","I played with my friend yesterday.","Hôm qua bé đã chơi cùng bạn."
